3.75.18.242,8080,443,TRUE,FRA,Europe,DE,Frankfurt,289,11.2
35.176.229.223,443,443,TRUE,LHR,Europe,GB,London,244,11.2
3.64.205.189,443,443,TRUE,FRA,Europe,DE,Frankfurt,288,11.19
51.44.108.161,443,443,TRUE,AMS,Europe,NL,Amsterdam,339,11.18
18.171.245.223,443,443,TRUE,LHR,Europe,GB,London,278,11.17
35.180.247.93,443,443,TRUE,CDG,Europe,FR,Paris,311,11.16
35.179.169.126,443,443,TRUE,LHR,Europe,GB,London,272,11.15
51.20.163.38,8443,443,TRUE,ARN,Europe,SE,Stockholm,269,11.14
18.134.130.27,443,443,TRUE,LHR,Europe,GB,London,208,11.14
51.44.161.135,443,443,TRUE,CDG,Europe,FR,Paris,204,11.12
35.180.38.75,443,443,TRUE,CDG,Europe,FR,Paris,227,11.12
18.171.218.79,443,443,TRUE,LHR,Europe,GB,London,279,11.12
35.178.167.33,443,443,TRUE,LHR,Europe,GB,London,236,11.12
3.75.149.151,443,443,TRUE,FRA,Europe,DE,Frankfurt,292,11.11
3.123.202.92,2053,443,TRUE,FRA,Europe,DE,Frankfurt,184,11.1
18.141.167.143,443,443,TRUE,SIN,Asia Pacific,SG,Singapore,264,11.09
67.226.223.217,80,443,TRUE,LHR,Europe,GB,London,159,11.09
35.181.160.163,443,443,TRUE,CDG,Europe,FR,Paris,290,11.09
18.175.122.33,8443,443,TRUE,LHR,Europe,GB,London,324,11.09
67.226.223.4,443,443,TRUE,LHR,Europe,GB,London,164,11.08
3.74.9.115,8443,443,TRUE,FRA,Europe,DE,Frankfurt,202,11.08
35.179.135.46,443,443,TRUE,LHR,Europe,GB,London,267,11.07
3.64.205.189,443,443,TRUE,FRA,Europe,DE,Frankfurt,253,11.05
35.180.134.207,443,443,TRUE,CDG,Europe,FR,Paris,256,11.05
35.180.91.239,443,443,TRUE,CDG,Europe,FR,Paris,201,11.04
52.29.224.33,443,443,TRUE,FRA,Europe,DE,Frankfurt,347,11.04
35.180.88.62,443,443,TRUE,CDG,Europe,FR,Paris,290,11.04
52.59.241.91,443,443,TRUE,FRA,Europe,DE,Frankfurt,241,11.04
51.20.99.157,443,443,TRUE,AMS,Europe,NL,Amsterdam,244,11.03
18.130.185.33,443,443,TRUE,LHR,Europe,GB,London,341,11.03
18.185.51.67,8080,443,TRUE,FRA,Europe,DE,Frankfurt,252,11.03
35.180.209.28,443,443,TRUE,CDG,Europe,FR,Paris,320,11.02
3.75.187.96,8080,443,TRUE,FRA,Europe,DE,Frankfurt,239,11.02
3.252.142.72,2083,443,TRUE,DUB,Europe,IE,Dublin,254,11.02
35.181.169.159,443,443,TRUE,CDG,Europe,FR,Paris,355,11.02
3.8.99.24,443,443,TRUE,LHR,Europe,GB,London,238,11
18.171.203.121,443,443,TRUE,LHR,Europe,GB,London,317,11
3.10.209.61,443,443,TRUE,LHR,Europe,GB,London,256,10.98
3.8.4.20,443,443,TRUE,LHR,Europe,GB,London,214,10.98
18.175.183.241,443,443,TRUE,LHR,Europe,GB,London,272,10.97
3.11.68.77,443,443,TRUE,LHR,Europe,GB,London,337,10.96
18.153.166.250,2053,443,TRUE,FRA,Europe,DE,Frankfurt,224,10.96
35.180.24.226,443,443,TRUE,CDG,Europe,FR,Paris,280,10.93
18.153.94.168,443,443,TRUE,FRA,Europe,DE,Frankfurt,240,10.93
18.175.143.170,443,443,TRUE,LHR,Europe,GB,London,325,10.93
3.11.13.145,443,443,TRUE,LHR,Europe,GB,London,247,10.93
18.194.161.158,443,443,TRUE,FRA,Europe,DE,Frankfurt,286,10.92
51.44.85.81,443,443,TRUE,CDG,Europe,FR,Paris,330,10.92
35.159.126.161,443,443,TRUE,FRA,Europe,DE,Frankfurt,255,10.91
3.8.164.85,443,443,TRUE,LHR,Europe,GB,London,321,10.9
3.75.170.179,443,443,TRUE,FRA,Europe,DE,Frankfurt,326,10.9
18.175.249.130,443,443,TRUE,LHR,Europe,GB,London,395,10.9
18.175.183.143,443,443,TRUE,LHR,Europe,GB,London,247,10.9
184.169.181.217,443,443,TRUE,SJC,North America,US,San Jose,221,10.89
35.179.169.184,443,443,TRUE,LHR,Europe,GB,London,282,10.89
35.159.168.72,443,443,TRUE,FRA,Europe,DE,Frankfurt,170,10.89
67.226.223.141,80,443,TRUE,LHR,Europe,GB,London,156,10.88
51.44.16.34,443,443,TRUE,CDG,Europe,FR,Paris,270,10.88
51.44.178.25,443,443,TRUE,CDG,Europe,FR,Paris,355,10.88
35.179.163.3,443,443,TRUE,LHR,Europe,GB,London,331,10.88
18.134.129.237,443,443,TRUE,LHR,Europe,GB,London,299,10.88
35.178.167.33,443,443,TRUE,LHR,Europe,GB,London,280,10.87
3.78.187.212,443,443,TRUE,FRA,Europe,DE,Frankfurt,272,10.87
35.180.33.84,443,443,TRUE,CDG,Europe,FR,Paris,245,10.87
35.179.140.208,443,443,TRUE,LHR,Europe,GB,London,355,10.86
35.179.137.136,443,443,TRUE,LHR,Europe,GB,London,245,10.85
51.20.99.157,443,443,TRUE,AMS,Europe,NL,Amsterdam,183,10.85
3.10.142.14,443,443,TRUE,LHR,Europe,GB,London,257,10.83
18.175.214.84,443,443,TRUE,LHR,Europe,GB,London,315,10.82
18.175.146.93,8443,443,TRUE,LHR,Europe,GB,London,162,10.82
35.178.235.237,443,443,TRUE,LHR,Europe,GB,London,263,10.81
67.226.223.159,80,443,TRUE,LHR,Europe,GB,London,153,10.81
18.153.166.250,8443,443,TRUE,FRA,Europe,DE,Frankfurt,249,10.8
3.8.10.203,443,443,TRUE,LHR,Europe,GB,London,309,10.8
3.8.48.64,443,443,TRUE,LHR,Europe,GB,London,291,10.8
52.59.241.91,443,443,TRUE,FRA,Europe,DE,Frankfurt,277,10.79
51.44.180.152,443,443,TRUE,CDG,Europe,FR,Paris,311,10.79
18.134.164.142,8443,443,TRUE,LHR,Europe,GB,London,240,10.79
18.159.111.125,2053,443,TRUE,FRA,Europe,DE,Frankfurt,209,10.79
18.170.227.251,443,443,TRUE,LHR,Europe,GB,London,389,10.77
3.123.202.92,2053,443,TRUE,FRA,Europe,DE,Frankfurt,213,10.76
3.10.209.61,443,443,TRUE,LHR,Europe,GB,London,306,10.76
18.171.134.137,443,443,TRUE,LHR,Europe,GB,London,321,10.76
18.171.52.33,443,443,TRUE,LHR,Europe,GB,London,247,10.76
3.78.125.180,443,443,TRUE,FRA,Europe,DE,Frankfurt,216,10.76
35.179.171.96,8443,443,TRUE,LHR,Europe,GB,London,399,10.75
51.20.121.201,443,443,TRUE,ARN,Europe,SE,Stockholm,260,10.74
35.179.171.143,443,443,TRUE,LHR,Europe,GB,London,220,10.74
3.10.162.164,443,443,TRUE,LHR,Europe,GB,London,294,10.74
18.171.156.12,443,443,TRUE,LHR,Europe,GB,London,364,10.73
35.179.184.93,8443,443,TRUE,LHR,Europe,GB,London,386,10.73
3.124.208.189,443,443,TRUE,FRA,Europe,DE,Frankfurt,256,10.72
18.175.145.100,443,443,TRUE,LHR,Europe,GB,London,355,10.71
67.226.223.28,80,443,TRUE,LHR,Europe,GB,London,158,10.71
18.133.140.18,443,443,TRUE,LHR,Europe,GB,London,265,10.7
3.71.189.51,2053,443,TRUE,FRA,Europe,DE,Frankfurt,246,10.69
35.179.143.117,443,443,TRUE,LHR,Europe,GB,London,276,10.69
35.177.39.238,443,443,TRUE,LHR,Europe,GB,London,296,10.68
51.44.169.171,443,443,TRUE,CDG,Europe,FR,Paris,349,10.68
35.180.33.84,443,443,TRUE,CDG,Europe,FR,Paris,271,10.68
3.8.3.154,443,443,TRUE,LHR,Europe,GB,London,252,10.67
35.178.116.228,443,443,TRUE,LHR,Europe,GB,London,260,10.67
51.44.16.34,443,443,TRUE,CDG,Europe,FR,Paris,324,10.66
3.123.202.92,8443,443,TRUE,FRA,Europe,DE,Frankfurt,173,10.66
18.132.16.216,443,443,TRUE,LHR,Europe,GB,London,197,10.65
18.133.235.94,443,443,TRUE,LHR,Europe,GB,London,326,10.62
18.175.225.59,443,443,TRUE,LHR,Europe,GB,London,287,10.61
35.180.232.82,443,443,TRUE,CDG,Europe,FR,Paris,215,10.61
3.8.16.221,443,443,TRUE,LHR,Europe,GB,London,307,10.61
52.42.71.111,443,443,TRUE,SEA,North America,US,Seattle,340,10.6
